y0,vy0,bx,by,k,t,kinetic_expected,kinetic_actual,potential_expected,potential_actual,kinetic_accuracy,potential_accuracy
0,0,0,0,3,0.0,0.0,0.0,0.0,0.0,100.0,100.0
0,0,0,0,3,0.1,0.0,0.0,0.0,0.0,100.0,100.0
0,0,0,0,3,0.2,0.0,0.0,0.0,0.0,100.0,100.0
0,0,0,0,3,0.3,0.0,0.0,0.0,0.0,100.0,100.0
0,0,0,0,3,0.4,0.0,0.0,0.0,0.0,100.0,100.0
0,0,0,0,3,0.5,0.0,0.0,0.0,0.0,100.0,100.0
0,0,0,0,3,0.6,0.0,0.0,0.0,0.0,100.0,100.0
0,0,0,0,3,0.7,0.0,0.0,0.0,0.0,100.0,100.0
0,0,0,0,3,0.8,0.0,0.0,0.0,0.0,100.0,100.0
0,0,0,0,3,0.9,0.0,0.0,0.0,0.0,100.0,100.0
0,0,0,0,3,1.0,0.0,0.0,0.0,0.0,100.0,100.0
0,1,0,0,3,0.0,0.5,0.5,0.0,0.0,100.0,100.0
0,1,0,0,3,0.1,0.495017,0.495013,0.004983,0.004983,99.9992,99.9998
0,1,0,0,3,0.2,0.480265,0.4802,0.019735,0.019734,99.9864,99.9973
0,1,0,0,3,0.3,0.456334,0.456013,0.043666,0.04366,99.9296,99.9863
0,1,0,0,3,0.4,0.424177,0.4232,0.075823,0.07579,99.7697,99.9563
0,1,0,0,3,0.5,0.385076,0.382813,0.114924,0.1148,99.4123,99.892
0,1,0,0,3,0.6,0.340589,0.3362,0.159411,0.159048,98.7112,99.7726
0,1,0,0,3,0.7,0.292492,0.285012,0.207508,0.206617,97.4429,99.5707
0,1,0,0,3,0.8,0.2427,0.2312,0.2573,0.255374,95.2616,99.2516
0,1,0,0,3,0.9,0.193199,0.177013,0.306801,0.303031,91.6216,98.7714
0,1,0,0,3,1.0,0.145963,0.125,0.354037,0.347222,85.638,98.0752
0,10,0,0,3,0.0,50.0,50.0,0.0,0.0,100.0,100.0
0,10,0,0,3,0.1,49.501664,49.50125,0.498336,0.498335,99.9992,99.9998
0,10,0,0,3,0.2,48.026525,48.02,1.973475,1.973422,99.9864,99.9973
0,10,0,0,3,0.3,45.63339,45.60125,4.36661,4.366012,99.9296,99.9863
0,10,0,0,3,0.4,42.417668,42.32,7.582332,7.579022,99.7697,99.9563
0,10,0,0,3,0.5,38.507558,38.28125,11.492442,11.480035,99.4123,99.892
0,10,0,0,3,0.6,34.058944,33.62,15.941056,15.9048,98.7112,99.7726
0,10,0,0,3,0.7,29.249179,28.50125,20.750821,20.661735,97.4429,99.5707
0,10,0,0,3,0.8,24.270012,23.12,25.729988,25.537422,95.2616,99.2516
0,10,0,0,3,0.9,19.319948,17.70125,30.680052,30.303113,91.6216,98.7714
0,10,0,0,3,1.0,14.596329,12.5,35.403671,34.722222,85.638,98.0752
1,0,0,0,3,0.0,0.0,0.0,0.5,0.5,100.0,100.0
1,0,0,0,3,0.1,0.004983,0.004983,0.495017,0.495012,99.9998,99.9992
1,0,0,0,3,0.2,0.019735,0.019734,0.480265,0.4802,99.9973,99.9864
1,0,0,0,3,0.3,0.043666,0.04366,0.456334,0.456013,99.9863,99.9296
1,0,0,0,3,0.4,0.075823,0.07579,0.424177,0.4232,99.9563,99.7697
1,0,0,0,3,0.5,0.114924,0.1148,0.385076,0.382813,99.892,99.4123
1,0,0,0,3,0.6,0.159411,0.159048,0.340589,0.3362,99.7726,98.7112
1,0,0,0,3,0.7,0.207508,0.206617,0.292492,0.285012,99.5707,97.4429
1,0,0,0,3,0.8,0.2573,0.255374,0.2427,0.2312,99.2516,95.2616
